17;1574864573945;1574864573928
22;1574864573992;1574864573970
20;1574864574039;1574864574019
22;1574864574127;1574864574105
20;1574864574172;1574864574152
20;1574864574227;1574864574207
19;1574864574242;1574864574223
22;1574864574329;1574864574307
16;1574864574360;1574864574344
18;1574864574373;1574864574355
17;1574864574385;1574864574368
18;1574864574399;1574864574381
17;1574864574462;1574864574445
19;1574864574536;1574864574517
17;1574864574558;1574864574541
19;1574864574593;1574864574574
24;1574864574943;1574864574919
22;1574864574971;1574864574949
21;1574864574981;1574864574960
17;1574864575111;1574864575094
23;1574864575228;1574864575205
16;1574864575400;1574864575384
16;1574864575502;1574864575486
17;1574864575564;1574864575547
19;1574864575658;1574864575639
18;1574864575771;1574864575753
16;1574864575852;1574864575836
19;1574864575967;1574864575948
18;1574864576008;1574864575990
16;1574864576148;1574864576132
17;1574864576190;1574864576173
17;1574864576212;1574864576195
17;1574864576244;1574864576227
16;1574864576295;1574864576279
16;1574864576326;1574864576310
16;1574864576358;1574864576342
17;1574864576450;1574864576433
16;1574864576532;1574864576516
17;1574864576555;1574864576538
16;1574864576856;1574864576840
16;1574864576938;1574864576922
23;1574864576957;1574864576934
16;1574864576968;1574864576952
17;1574864577080;1574864577063
16;1574864577101;1574864577085
16;1574864577293;1574864577277
16;1574864577354;1574864577338
16;1574864577466;1574864577450
16;1574864577578;1574864577562
22;1574864577645;1574864577623
17;1574864577766;1574864577749
16;1574864577827;1574864577811
17;1574864577889;1574864577872
17;1574864577931;1574864577914
18;1574864577943;1574864577925
16;1574864577965;1574864577949
17;1574864577978;1574864577961
16;1574864577989;1574864577973
16;1574864578160;1574864578144
20;1574864578196;1574864578176
17;1574864578229;1574864578212
16;1574864578320;1574864578304
18;1574864578354;1574864578336
16;1574864578393;1574864578377
16;1574864578465;1574864578449
16;1574864578497;1574864578481
17;1574864578509;1574864578492
16;1574864578581;1574864578565
16;1574864578633;1574864578617
15;1574864578643;1574864578628
17;1574864578677;1574864578660
16;1574864578737;1574864578721
16;1574864578749;1574864578733
15;1574864578759;1574864578744
18;1574864578793;1574864578775
17;1574864578816;1574864578799
17;1574864578827;1574864578810
16;1574864578918;1574864578902
16;1574864578970;1574864578954
17;1574864578992;1574864578975
22;1574864579080;1574864579058
17;1574864579143;1574864579126
22;1574864579179;1574864579157
17;1574864579235;1574864579218
17;1574864579287;1574864579270
17;1574864579429;1574864579412
16;1574864579550;1574864579534
16;1574864579711;1574864579695
16;1574864579763;1574864579747
16;1574864579865;1574864579849
16;1574864579917;1574864579901
17;1574864579970;1574864579953
16;1574864580022;1574864580006
23;1574864580130;1574864580107
25;1574864580148;1574864580123
17;1574864580202;1574864580185
18;1574864580285;1574864580267
16;1574864580306;1574864580290
16;1574864580367;1574864580351
